symbol,best_short,best_long,return
SOL-USD,5,30,59.10713876786667
BTC-USD,10,30,43.563741594063686
ETH-USD,15,20,33.893913893317404
META,25,30,25.429529874181753
TSLA,15,50,15.364341194082954
GC=F,5,60,14.32611227182224
^FTSE,20,30,10.296833099125251
NVDA,5,20,4.227919772271889
EURUSD=X,20,50,4.077147728426098
GBPUSD=X,15,50,3.7260541113255385
AAPL,25,60,3.0890964579539286
AMZN,20,90,1.6338730575726004
